date,base,target,rate
2025-07-16 00:02:31+00:00,USD,PGK,4.122755
2025-07-16 00:02:31+00:00,USD,PHP,56.786533
2025-07-16 00:02:31+00:00,USD,PKR,284.620176
2025-07-16 00:02:31+00:00,USD,PLN,3.661298
2025-07-16 00:02:31+00:00,USD,PYG,7781.910153
2025-07-16 00:02:31+00:00,USD,QAR,3.64
2025-07-16 00:02:31+00:00,USD,RON,4.351719
2025-07-16 00:02:31+00:00,USD,RSD,100.345217
2025-07-16 00:02:31+00:00,USD,RUB,78.057575
2025-07-16 00:02:31+00:00,USD,RWF,1447.221212
2025-07-16 00:02:31+00:00,USD,SAR,3.75
2025-07-16 00:02:31+00:00,USD,SBD,8.354936
2025-07-16 00:02:31+00:00,USD,SCR,14.690262
2025-07-16 00:02:31+00:00,USD,SDG,449.064774
2025-07-16 00:02:31+00:00,USD,SEK,9.704251
2025-07-16 00:02:31+00:00,USD,SGD,1.283785
2025-07-16 00:02:31+00:00,USD,SHP,0.746047
2025-07-16 00:02:31+00:00,USD,SLE,22.453134
2025-07-16 00:02:31+00:00,USD,SLL,22453.133894
2025-07-16 00:02:31+00:00,USD,SOS,571.535284
2025-07-16 00:02:31+00:00,USD,SRD,37.30246
2025-07-16 00:02:31+00:00,USD,SSP,4720.28095
2025-07-16 00:02:31+00:00,USD,STN,21.07428
2025-07-16 00:02:31+00:00,USD,SYP,12914.233285
2025-07-16 00:02:31+00:00,USD,SZL,17.891705
2025-07-16 00:02:31+00:00,USD,THB,32.512308
2025-07-16 00:02:31+00:00,USD,TJS,9.683995
2025-07-16 00:02:31+00:00,USD,TMT,3.49999
2025-07-16 00:02:31+00:00,USD,TND,2.893242
2025-07-16 00:02:31+00:00,USD,TOP,2.381023
2025-07-16 00:02:31+00:00,USD,TRY,40.24158
2025-07-16 00:02:31+00:00,USD,TTD,6.774877
2025-07-16 00:02:31+00:00,USD,TVD,1.530892
2025-07-16 00:02:31+00:00,USD,TWD,29.337727
2025-07-16 00:02:31+00:00,USD,TZS,2578.226535
2025-07-16 00:02:31+00:00,USD,UAH,41.852166
2025-07-16 00:02:31+00:00,USD,UGX,3565.945319
2025-07-16 00:02:31+00:00,USD,UYU,40.781455
2025-07-16 00:02:31+00:00,USD,UZS,12719.327225
2025-07-16 00:02:31+00:00,USD,VES,116.8191
2025-07-16 00:02:31+00:00,USD,VND,26080.255475
2025-07-16 00:02:31+00:00,USD,VUV,119.019586
2025-07-16 00:02:31+00:00,USD,WST,2.730921
2025-07-16 00:02:31+00:00,USD,XAF,564.237615
2025-07-16 00:02:31+00:00,USD,XCD,2.7
2025-07-16 00:02:31+00:00,USD,XCG,1.79
2025-07-16 00:02:31+00:00,USD,XDR,0.730494
2025-07-16 00:02:31+00:00,USD,XOF,564.237615
2025-07-16 00:02:31+00:00,USD,XPF,102.646367
2025-07-16 00:02:31+00:00,USD,YER,241.853672
2025-07-16 00:02:31+00:00,USD,ZAR,17.892485
2025-07-16 00:02:31+00:00,USD,ZMW,23.196238
2025-07-16 00:02:31+00:00,USD,ZWL,26.8167
