date,base,target,rate
2025-07-15 00:02:31+00:00,USD,PGK,4.130532
2025-07-15 00:02:31+00:00,USD,PHP,56.690246
2025-07-15 00:02:31+00:00,USD,PKR,284.682534
2025-07-15 00:02:31+00:00,USD,PLN,3.647471
2025-07-15 00:02:31+00:00,USD,PYG,7827.749996
2025-07-15 00:02:31+00:00,USD,QAR,3.64
2025-07-15 00:02:31+00:00,USD,RON,4.346734
2025-07-15 00:02:31+00:00,USD,RSD,100.20763
2025-07-15 00:02:31+00:00,USD,RUB,78.212664
2025-07-15 00:02:31+00:00,USD,RWF,1448.591538
2025-07-15 00:02:31+00:00,USD,SAR,3.75
2025-07-15 00:02:31+00:00,USD,SBD,8.260618
2025-07-15 00:02:31+00:00,USD,SCR,14.463502
2025-07-15 00:02:31+00:00,USD,SDG,453.869294
2025-07-15 00:02:31+00:00,USD,SEK,9.613106
2025-07-15 00:02:31+00:00,USD,SGD,1.281985
2025-07-15 00:02:31+00:00,USD,SHP,0.743516
2025-07-15 00:02:31+00:00,USD,SLE,22.453134
2025-07-15 00:02:31+00:00,USD,SLL,22453.133894
2025-07-15 00:02:31+00:00,USD,SOS,571.534641
2025-07-15 00:02:31+00:00,USD,SRD,37.304777
2025-07-15 00:02:31+00:00,USD,SSP,4715.553218
2025-07-15 00:02:31+00:00,USD,STN,20.987406
2025-07-15 00:02:31+00:00,USD,SYP,12902.264214
2025-07-15 00:02:31+00:00,USD,SZL,17.905816
2025-07-15 00:02:31+00:00,USD,THB,32.432659
2025-07-15 00:02:31+00:00,USD,TJS,9.870644
2025-07-15 00:02:31+00:00,USD,TMT,3.499943
2025-07-15 00:02:31+00:00,USD,TND,2.885687
2025-07-15 00:02:31+00:00,USD,TOP,2.380529
2025-07-15 00:02:31+00:00,USD,TRY,40.240594
2025-07-15 00:02:31+00:00,USD,TTD,6.762739
2025-07-15 00:02:31+00:00,USD,TVD,1.526291
2025-07-15 00:02:31+00:00,USD,TWD,29.266403
2025-07-15 00:02:31+00:00,USD,TZS,2608.673144
2025-07-15 00:02:31+00:00,USD,UAH,41.855023
2025-07-15 00:02:31+00:00,USD,UGX,3586.048282
2025-07-15 00:02:31+00:00,USD,UYU,40.572389
2025-07-15 00:02:31+00:00,USD,UZS,12698.713722
2025-07-15 00:02:31+00:00,USD,VES,115.8446
2025-07-15 00:02:31+00:00,USD,VND,26057.915485
2025-07-15 00:02:31+00:00,USD,VUV,118.98923
2025-07-15 00:02:31+00:00,USD,WST,2.720598
2025-07-15 00:02:31+00:00,USD,XAF,561.911677
2025-07-15 00:02:31+00:00,USD,XCD,2.7
2025-07-15 00:02:31+00:00,USD,XCG,1.79
2025-07-15 00:02:31+00:00,USD,XDR,0.730126
2025-07-15 00:02:31+00:00,USD,XOF,561.911677
2025-07-15 00:02:31+00:00,USD,XPF,102.223231
2025-07-15 00:02:31+00:00,USD,YER,241.743993
2025-07-15 00:02:31+00:00,USD,ZAR,17.903613
2025-07-15 00:02:31+00:00,USD,ZMW,23.353239
2025-07-15 00:02:31+00:00,USD,ZWL,26.8406
